,Ethical Capital ,,,Diversification Strategy,,,,,,,,"Through Jun 30, 2025",,
,,,,,,Net of 1% Annual Fee,,,,,,,,
,,,,,,,,,,,,,,
,2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
,Strategy TWR,3.31%,-1.16%,-2.80%,0.77%,5.55%,3.05%,,,,,,,8.78%
,MSCI ACWI TR,3.28%,0.35%,-3.81%,0.76%,5.71%,4.64%,,,,,,,10.34%
,2024,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
,Strategy TWR,-0.83%,0.94%,1.82%,-4.55%,5.69%,0.41%,2.47%,4.56%,2.34%,-3.02%,4.78%,-4.53%,9.09%
,MSCI ACWI TR,0.34%,3.36%,2.22%,-3.27%,4.75%,2.02%,1.39%,4.29%,2.19%,-2.17%,3.94%,-2.57%,17.41%
